query id,cosine recall,euclidean recall,cosine precision,euclidean precision,cosine f-measure,euclidean f-measure,cosine similarity results,euclidean similarity results
1,0.27586206896551724,0.27586206896551724,0.5333333333333333,0.5333333333333333,0.36363636363636365,0.36363636363636365,"[ 486  184   51   13   12  746  497 1328  860   29  875  606  359  395
 1207]","[ 486  184   51   13   12  746  497 1328  860   29  875  606  359  395
 1207]"
2,0.2,0.2,0.8666666666666667,0.3333333333333333,0.25,0.25,[ 12 746  51 792 875 253 925 658 747 141 791 700 685 914  52],[ 12 746  51 792 875 253 925 658 747 141 791 700 685 914  52]
3,0.7777777777777778,0.7777777777777778,1.3333333333333335,0.4666666666666667,0.5833333333333334,0.5833333333333334,[399 485   5 144 181  91 102 978 542 982 980 981 586 395  90],[399 485   5 144 181  91 102 978 542 982 980 981 586 395  90]
4,1.0,1.0,1.5333333333333334,0.2,0.33333333333333337,0.33333333333333337,"[ 236  166 1295  167  488  103 1372 1374  691  574 1189 1061 1296 1072
 1254]","[ 236  166 1295  167  488  103 1372 1374  691  574 1189 1061 1296 1072
 1254]"
5,0.6,0.6,1.7333333333333334,0.2,0.3,0.3,"[ 488  401  552  574 1061 1374 1391 1204  328  329 1295  998 1379 1158
 1310]","[ 488  401  552  574 1061 1374 1391 1204  328  329 1295  998 1379 1158
 1310]"
6,0.4,0.4,1.8666666666666667,0.13333333333333333,0.2,0.2,"[  99  418  491 1261  255  960    7   16 1372 1324  315   96  563  558
  377]","[  99  418  491 1261  255  960    7   16 1372 1324  315   96  563  558
  377]"
7,0.6666666666666666,0.6666666666666666,2.1333333333333333,0.26666666666666666,0.3809523809523809,0.3809523809523809,[492 370 196 456 508 423 605 248 232  58  56 907  20 122 498],[492 370 196 456 508 423 605 248 232  58  56 907  20 122 498]
8,0.25,0.25,2.3333333333333335,0.2,0.22222222222222224,0.22222222222222224,"[ 492  370  473  232  498  456 1234  508  605  248  196 1310  907   58
  423]","[ 492  370  473  232  498  456 1234  508  605  248  196 1310  907   58
  423]"
9,0.75,0.75,2.5333333333333337,0.2,0.31578947368421056,0.31578947368421056,"[  21  550  560   22 1215  120  260  962  387  493  306 1073  145  102
  661]","[  21  550  560   22 1215  120  260  962  387  493  306 1073  145  102
  661]"
10,0.4444444444444444,0.4444444444444444,2.8000000000000003,0.26666666666666666,0.33333333333333337,0.33333333333333337,"[ 302  583 1139  185  502  405  975  998 1199 1003 1204  488  236  437
 1286]","[ 302  583 1139  185  502  405  975  998 1199 1003 1204  488  236  437
 1286]"
11,0.375,0.375,3.0000000000000004,0.2,0.26086956521739135,0.26086956521739135,"[ 495  264  777 1389  507  654  472   28   93 1390  537 1238 1077  192
 1208]","[ 495  264  777 1389  507  654  472   28   93 1390  537 1238 1077  192
 1208]"
12,0.3333333333333333,0.3333333333333333,3.1333333333333337,0.13333333333333333,0.19047619047619044,0.19047619047619044,"[ 624 1209 1232 1342 1336  652  245   33 1353 1246  498 1261  892  704
  197]","[ 624 1209 1232 1342 1336  652  245   33 1353 1246  498 1261  892  704
  197]"
13,0.2,0.2,3.2000000000000006,0.06666666666666667,0.1,0.1,"[ 496 1111  643  137  908  895 1113  844  220  914  199  722  296  202
 1244]","[ 496 1111  643  137  908  895 1113  844  220  914  199  722  296  202
 1244]"
14,0.3333333333333333,0.3333333333333333,3.2666666666666675,0.06666666666666667,0.1111111111111111,0.1111111111111111,"[  64  132 1208  319  345  517 1252  482  411  495 1327 1156  170 1312
 1364]","[  64  132 1208  319  345  517 1252  482  411  495 1327 1156  170 1312
 1364]"
15,0.6666666666666666,0.6666666666666666,3.400000000000001,0.13333333333333333,0.2222222222222222,0.2222222222222222,"[ 462  463   30  867 1052  866 1044  824  195 1024 1028  938 1027  837
  744]","[ 462  463   30  867 1052  866 1044  824  195 1024 1028  938 1027  837
  744]"
