query id,cosine recall,euclidean recall,cosine precision,euclidean precision,cosine f-measure,euclidean f-measure,cosine similarity results,euclidean similarity results
1,0.1724137931034483,0.1724137931034483,0.3333333333333333,0.3333333333333333,0.22727272727272724,0.22727272727272724,[ 13 184  51  12 486 359 429 327 792 746 665 435 100 253 114],[995 471  13 184  51  12 486 359 429 327 792 746 665 435 100]
2,0.16,0.16,0.6,0.26666666666666666,0.2,0.2,"[  12   51  184  746  884  875  792  578  726  100  429  579 1042  883
  253]","[ 995  471   12   51  184  746  884  875  792  578  726  100  429  579
 1042]"
3,0.8888888888888888,0.8888888888888888,1.1333333333333333,0.5333333333333333,0.6666666666666667,0.6666666666666667,[485   5 144 181 399 542  91 707  90 584 119 159 980 425 582],[471 995 485   5 144 181 399 542  91 707  90 584 119 159 980]
4,1.0,1.0,1.3333333333333333,0.2,0.33333333333333337,0.33333333333333337,"[ 166 1275  185  236 1189  575  317  488 1374  378  914 1061 1312  827
 1085]","[ 995  471  166 1275  185  236 1189  575  317  488 1374  378  914 1061
 1312]"
5,0.4,0.4,1.4666666666666666,0.13333333333333333,0.2,0.2,"[ 103 1374  401  575   26  360  410  568  552 1032 1272  943 1061  540
  355]","[ 471  995  103 1374  401  575   26  360  410  568  552 1032 1272  943
 1061]"
6,0.0,0.0,1.4666666666666666,0.0,0.0,0.0,"[1363  883  406  265  128 1074  865  640  544  802 1146 1317 1397  222
  497]","[ 471  995 1363  883  406  265  128 1074  865  640  544  802 1146 1317
 1397]"
7,0.3333333333333333,0.3333333333333333,1.5999999999999999,0.13333333333333333,0.19047619047619044,0.19047619047619044,"[ 492 1040   56 1231  434  122 1347  947  973  354   48  233  197   32
  189]","[ 492  995  471 1040   56 1231  434  122 1347  947  973  354   48  233
  197]"
8,0.25,0.16666666666666666,1.7999999999999998,0.13333333333333333,0.22222222222222224,0.14814814814814814,"[ 492  122  907  569   21  237  711  461 1083  443  947 1231 1347 1082
  197]","[ 471  995  492  122  907  569   21  237  711  461 1083  443  947 1231
 1347]"
9,0.75,0.75,1.9999999999999998,0.2,0.31578947368421056,0.31578947368421056,[ 21  22 550 571 326 306 528 564 102  45 398 303 283 120 873],[995 471  21  22 550 571 326 306 528 564 102  45 398 303 283]
10,0.3333333333333333,0.3333333333333333,2.1999999999999997,0.2,0.25,0.25,"[1199  302  493 1286 1009  185  405 1003  691 1274 1319 1214  781  355
  949]","[ 995  471 1199  302  493 1286 1009  185  405 1003  691 1274 1319 1214
  781]"
